txn-1756534243212-9ur4t1l12,client-1756272833203-r5tlpg06q,,RESET,1000,1000,"Manual credit reset: Total Added = 1000, Total Used = 0",MANUAL,,2025-08-30 06:10:43.212,Sujatha Gold Covering Works,,,,
txn-1756705813768-wd5mqkt22,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4943,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 05:50:13.768,Unknown Client,,,,
txn-1756705823874-9f193me0o,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4942,Order creation,ORDER,91,2025-09-01 05:50:23.874,Unknown Client,,,,
txn-1756710130899-kefxieb8k,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4934,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 07:02:10.899,Unknown Client,,,,
txn-1756710135818-6e1xv9g3n,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4933,Order creation,ORDER,95,2025-09-01 07:02:15.818,Unknown Client,,,,
txn-1756731190019-hgq81cge8,client-1756297715470-3hwkwcugb,master-admin-1756272680518,RESET,1000,1000,Initial Load,MANUAL,,2025-09-01 12:53:10.019,RVD Jewels,,,,
txn-1756740225237-5xn2w3cih,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4929,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:23:45.237,Unknown Client,,,,
txn-1756740994207-4rufsn73w,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4926,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:36:34.207,Unknown Client,,,,
txn-1756742906553-j4bg3qan5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4921,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:08:26.553,Unknown Client,,,,
txn-1756744151088-kzy2czfd6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4910,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:29:11.088,Unknown Client,,,,
txn-1756734517376-5fqdve2rj,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1946,Order creation,ORDER,,2025-09-01 13:48:37.376,Unknown Client,,,,
txn-1756659614353-k7xfh4xlq,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1963,Order creation,ORDER,,2025-08-31 17:00:14.353,Unknown Client,,,,
txn-1756645566151-3fre6lvob,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1986,Order creation,ORDER,,2025-08-31 13:06:06.151,Unknown Client,,,,
txn-1756645545609-h2jp2ivp6,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1988,Order creation,ORDER,,2025-08-31 13:05:45.609,Unknown Client,,,,
txn-1756534039192-fp0acdsb9,client-1756319181164-s6ds2994c,master-admin-1756272680518,RESET,0,600,reset,MANUAL,,2025-08-30 06:07:19.192,Mantra Fashion Jewellery,,,,
txn-1756534050589-fga0xxj09,client-1756319181164-s6ds2994c,master-admin-1756272680518,RESET,400,1000,rest,MANUAL,,2025-08-30 06:07:30.589,Mantra Fashion Jewellery,,,,
txn-1756534058947-owbmbjkyk,default-client-001,master-admin-1756272680518,ADD,1000,1000,testing,MANUAL,,2025-08-30 06:07:38.947,Default Company,,,,
txn-1756732484270-ln5cnlp3s,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1950,Order creation,ORDER,,2025-09-01 13:14:44.27,Unknown Client,,,,
txn-1756644280006-tsqkll478,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,996,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 12:44:40.006,Unknown Client,,,,
txn-1756650522642-cx31i3gkm,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1985,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:28:42.642,Unknown Client,,,,
txn-1756650550626-hx2sxc4mz,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1984,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 14:29:10.626,Unknown Client,,,,
txn-1756652224232-cj3x0clq3,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1976,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 14:57:04.232,Unknown Client,,,,
txn-1756654546802-s9vpfn7jr,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4997,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 15:35:46.802,Unknown Client,,,,
txn-1756654586424-94zexr947,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4996,Order creation,ORDER,58,2025-08-31 15:36:26.424,Unknown Client,,,,
txn-1756656647051-rdj2yu1at,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4988,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:10:47.051,Unknown Client,,,,
txn-1756656667572-zgyy4f98k,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4987,Order creation,ORDER,62,2025-08-31 16:11:07.572,Unknown Client,,,,
txn-1756657318921-wse9axujk,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4976,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:21:58.921,Unknown Client,,,,
txn-1756657326751-r3m2nqdpp,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4975,Order creation,ORDER,68,2025-08-31 16:22:06.751,Unknown Client,,,,
txn-1756657457147-16w9sdf6b,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4974,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:24:17.147,Unknown Client,,,,
txn-1756657470237-cfsso9kwu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4973,Order creation,ORDER,69,2025-08-31 16:24:30.237,Unknown Client,,,,
txn-1756658615937-lj1ao5vfg,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4954,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:43:35.937,Unknown Client,,,,
txn-1756827642272-c6i5n25by,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4640,Order creation,ORDER,289,2025-09-02 15:40:42.272,Unknown Client,,,,
txn-1756658621729-y5xutbt30,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4953,AI Usage in Order reference,TEXT_PROCESSING,,2025-08-31 16:43:41.729,Unknown Client,,,,
txn-1756658633937-wqc2twk4z,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4952,Order creation,ORDER,80,2025-08-31 16:43:53.937,Unknown Client,,,,
txn-1756659667594-qtee903qo,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1961,AI Usage in Order reference,IMAGE_PROCESSING,,2025-08-31 17:01:07.594,Unknown Client,,,,
txn-1756706385864-1h17u8g9x,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4941,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 05:59:45.864,Unknown Client,,,,
txn-1756706491431-d5zxtunid,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4940,Order creation,ORDER,92,2025-09-01 06:01:31.431,Unknown Client,,,,
txn-1756736542494-ezok27vz5,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,999,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 14:22:22.494,Unknown Client,,,,
txn-1756736650896-ztpqndb69,client-1756297715470-3hwkwcugb,user-1756297715481-z5jst9611,DEDUCT,1,998,Order creation,ORDER,106,2025-09-01 14:24:10.896,Unknown Client,,,,
txn-1756740335753-56ldt6tvq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4928,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:25:35.753,Unknown Client,,,,
txn-1756740383401-lm0r2oxfh,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4927,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:26:23.401,Unknown Client,,,,
txn-1756741427242-oqy0z3pcf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4925,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 15:43:47.242,Unknown Client,,,,
txn-1756743008822-7v71134ad,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4920,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:10:08.822,Unknown Client,,,,
txn-1756743148224-uoeyq1kgu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4919,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:12:28.224,Unknown Client,,,,
txn-1756743154335-0uciy20ic,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4918,Order creation,ORDER,109,2025-09-01 16:12:34.335,Unknown Client,,,,
txn-1756744166292-eeeoq067c,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4909,Order creation,ORDER,113,2025-09-01 16:29:26.292,Unknown Client,,,,
txn-1756745381855-xo75muzr3,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4900,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:49:41.855,Unknown Client,,,,
txn-1756745390930-cuwlg2a51,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4899,Order creation,ORDER,118,2025-09-01 16:49:50.93,Unknown Client,,,,
txn-1756745527050-rtordpghl,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4898,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 16:52:07.051,Unknown Client,,,,
txn-1756659680752-sa7k6op91,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1960,Order creation,ORDER,,2025-08-31 17:01:20.752,Unknown Client,,,,
txn-1756746616364-1ylut9cbu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4878,Order creation,ORDER,128,2025-09-01 17:10:16.364,Unknown Client,,,,
txn-1756746627537-k3q1flpm4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4877,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:10:27.537,Unknown Client,,,,
txn-1756746654719-h4j5cho20,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4876,Order creation,ORDER,129,2025-09-01 17:10:54.719,Unknown Client,,,,
txn-1756746789088-0q3d4dpmj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4875,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:13:09.088,Unknown Client,,,,
txn-1756746802684-m4ekogfmu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4874,Order creation,ORDER,130,2025-09-01 17:13:22.684,Unknown Client,,,,
txn-1756746860980-oo87sawxt,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4873,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:14:20.98,Unknown Client,,,,
txn-1756746989187-5r3mf6gh2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4872,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:16:29.187,Unknown Client,,,,
txn-1756747014756-sqetdhepj,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4871,Order creation,ORDER,131,2025-09-01 17:16:54.756,Unknown Client,,,,
txn-1756747047899-3o8hba2rh,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4870,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:17:27.899,Unknown Client,,,,
txn-1756747059339-mad90f2ry,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4869,Order creation,ORDER,132,2025-09-01 17:17:39.339,Unknown Client,,,,
txn-1756747378178-u6ck77xgl,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1939,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 17:22:58.178,Unknown Client,,,,
txn-1756747389742-7a57op3b3,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1938,Order creation,ORDER,,2025-09-01 17:23:09.742,Unknown Client,,,,
txn-1756733071942-r8z2tv9z4,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1948,Order creation,ORDER,,2025-09-01 13:24:31.943,Unknown Client,,,,
txn-1756668035395-u7vobclnw,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1952,Order creation,ORDER,,2025-08-31 19:20:35.395,Unknown Client,,,,
txn-1756644786277-rq0209qyi,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,991,Order creation,ORDER,,2025-08-31 12:53:06.277,Unknown Client,,,,
txn-1756750279107-vvj7elote,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1937,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 18:11:19.107,Unknown Client,,,,
txn-1756750294332-q0akxfifo,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1936,Order creation,ORDER,134,2025-09-01 18:11:34.332,Unknown Client,,,,
txn-1756750379836-sm5h9j5di,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,2,1934,AI Usage in Order reference,IMAGE_PROCESSING,,2025-09-01 18:12:59.836,Unknown Client,,,,
txn-1756750391062-nby9oq991,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1933,Order creation,ORDER,135,2025-09-01 18:13:11.062,Unknown Client,,,,
txn-1756750453501-yaxhdedt6,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1932,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 18:14:13.501,Unknown Client,,,,
txn-1756750456598-e4vc48vj8,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1931,Order creation,ORDER,136,2025-09-01 18:14:16.598,Unknown Client,,,,
txn-1756750588479-93il0wmyx,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1930,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-01 18:16:28.479,Unknown Client,,,,
txn-1756750597928-bf6vql50b,default-client-001,user-1756643951453-7h5dyb5zm,DEDUCT,1,1929,Order creation,ORDER,137,2025-09-01 18:16:37.928,Unknown Client,,,,
txn-1756796409258-9ladi8x97,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4868,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:00:09.258,Unknown Client,,,,
txn-1756796415156-a8e9eugyq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4867,Order creation,ORDER,138,2025-09-02 07:00:15.156,Unknown Client,,,,
txn-1756796586471-vbalru430,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4866,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:03:06.471,Unknown Client,,,,
txn-1756796597255-4sfm0kwx0,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4865,Order creation,ORDER,139,2025-09-02 07:03:17.255,Unknown Client,,,,
txn-1756796923465-mvwvad6py,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4864,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:08:43.465,Unknown Client,,,,
txn-1756796943442-jgv5r5zso,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4863,Order creation,ORDER,140,2025-09-02 07:09:03.442,Unknown Client,,,,
txn-1756797036489-1xdxpb35i,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4862,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:10:36.489,Unknown Client,,,,
txn-1756797042946-aps3dejw2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4861,Order creation,ORDER,141,2025-09-02 07:10:42.946,Unknown Client,,,,
txn-1756797188809-l24ljna1q,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4860,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:13:08.809,Unknown Client,,,,
txn-1756797205498-h28fs47gf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4859,Order creation,ORDER,142,2025-09-02 07:13:25.498,Unknown Client,,,,
txn-1756797240455-qlzsz1h1m,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4858,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:14:00.456,Unknown Client,,,,
txn-1756797264449-45nab7uat,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4857,Order creation,ORDER,143,2025-09-02 07:14:24.449,Unknown Client,,,,
txn-1756797302267-5t1vwcrx6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4856,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:15:02.267,Unknown Client,,,,
txn-1756797315604-gkf82dzqi,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4855,Order creation,ORDER,144,2025-09-02 07:15:15.604,Unknown Client,,,,
txn-1756797356442-liabxflo2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4854,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:15:56.442,Unknown Client,,,,
txn-1756797367284-3bwwoix24,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4853,Order creation,ORDER,145,2025-09-02 07:16:07.284,Unknown Client,,,,
txn-1756797484331-clxasn889,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4852,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:18:04.331,Unknown Client,,,,
txn-1756797509954-opsb57to1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4851,Order creation,ORDER,146,2025-09-02 07:18:29.954,Unknown Client,,,,
txn-1756797598073-67tejys4g,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4850,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:19:58.073,Unknown Client,,,,
txn-1756797615171-ubmer4x34,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4849,Order creation,ORDER,147,2025-09-02 07:20:15.171,Unknown Client,,,,
txn-1756797668924-f9a2qndjw,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4848,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:21:08.924,Unknown Client,,,,
txn-1756797678999-0m8aagf4i,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4847,Order creation,ORDER,148,2025-09-02 07:21:18.999,Unknown Client,,,,
txn-1756797850877-sap0efqi1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4846,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:24:10.877,Unknown Client,,,,
txn-1756797862117-ec0v7060i,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4845,Order creation,ORDER,149,2025-09-02 07:24:22.117,Unknown Client,,,,
txn-1756797899524-pau8miazq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4844,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:24:59.524,Unknown Client,,,,
txn-1756797908933-xi34l646g,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4843,Order creation,ORDER,150,2025-09-02 07:25:08.933,Unknown Client,,,,
txn-1756797963100-tsy805k2h,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4842,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:26:03.1,Unknown Client,,,,
txn-1756797977991-c4qkpwxls,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4841,Order creation,ORDER,151,2025-09-02 07:26:17.991,Unknown Client,,,,
txn-1756798133134-o12th1ljz,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4840,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:28:53.134,Unknown Client,,,,
txn-1756798141476-xlegjajj7,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4839,Order creation,ORDER,152,2025-09-02 07:29:01.476,Unknown Client,,,,
txn-1756798186470-amkl343t1,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4838,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:29:46.47,Unknown Client,,,,
txn-1756798197992-x149s43os,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4837,Order creation,ORDER,153,2025-09-02 07:29:57.992,Unknown Client,,,,
txn-1756798259233-esefsm7ts,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4836,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:30:59.233,Unknown Client,,,,
txn-1756798266014-sqlpuuobm,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4835,Order creation,ORDER,154,2025-09-02 07:31:06.014,Unknown Client,,,,
txn-1756798379299-6dq8r8irg,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,2,4833,AI Usage in Order reference,IMAGE_PROCESSING,,2025-09-02 07:32:59.299,Unknown Client,,,,
txn-1756798400215-vwlvrs1s6,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,2,4831,AI Usage in Order reference,IMAGE_PROCESSING,,2025-09-02 07:33:20.215,Unknown Client,,,,
txn-1756798410337-zey0cyd4s,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4830,Order creation,ORDER,155,2025-09-02 07:33:30.337,Unknown Client,,,,
txn-1756798471806-sh5k9mgpx,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4829,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:34:31.806,Unknown Client,,,,
txn-1756798486543-11mf6qeyt,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4828,Order creation,ORDER,156,2025-09-02 07:34:46.543,Unknown Client,,,,
txn-1756831828972-gkg7hpglg,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4600,Order creation,ORDER,307,2025-09-02 16:50:28.972,Unknown Client,,,,
txn-1756799115880-k6ph1qrim,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4827,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:45:15.88,Unknown Client,,,,
txn-1756799125500-b48hujjq5,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4826,Order creation,ORDER,157,2025-09-02 07:45:25.5,Unknown Client,,,,
txn-1756799216904-j0fnfd16a,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4825,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:46:56.904,Unknown Client,,,,
txn-1756799249033-athm5y11p,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4824,Order creation,ORDER,158,2025-09-02 07:47:29.033,Unknown Client,,,,
txn-1756799324293-hqk3sdxeq,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4823,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:48:44.293,Unknown Client,,,,
txn-1756799332722-lk7gpv5db,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4822,Order creation,ORDER,159,2025-09-02 07:48:52.722,Unknown Client,,,,
txn-1756799510681-ukujz48wl,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4821,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:51:50.681,Unknown Client,,,,
txn-1756799529174-dguocp2v2,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4820,Order creation,ORDER,160,2025-09-02 07:52:09.174,Unknown Client,,,,
txn-1756799567274-syo87cp5t,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4819,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:52:47.274,Unknown Client,,,,
txn-1756799579828-robf1sjtx,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4818,Order creation,ORDER,161,2025-09-02 07:52:59.828,Unknown Client,,,,
txn-1756799635423-htykgllhz,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4817,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 07:53:55.423,Unknown Client,,,,
txn-1756799649100-daeyl3ksv,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4816,Order creation,ORDER,162,2025-09-02 07:54:09.1,Unknown Client,,,,
txn-1756800754171-pbpanntt4,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4815,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:12:34.171,Unknown Client,,,,
txn-1756800776113-m70awq0yr,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4814,Order creation,ORDER,163,2025-09-02 08:12:56.113,Unknown Client,,,,
txn-1756800860517-8job1kdlf,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4813,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:14:20.517,Unknown Client,,,,
txn-1756800884648-cmnib5mi9,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4812,Order creation,ORDER,164,2025-09-02 08:14:44.648,Unknown Client,,,,
txn-1756800939412-qyv24ioeu,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4811,AI Usage in Order reference,TEXT_PROCESSING,,2025-09-02 08:15:39.412,Unknown Client,,,,
txn-1756800953399-p4kiip48j,client-1756653250197-7ltxt67xn,user-1756653250215-ql8x6xfiq,DEDUCT,1,4810,Order creation,ORDER,165,2025-09-02 08:15:53.399,Unknown Client,,,,
